INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 47
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 45
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 43
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 43
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 43
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 42
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 42
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
INFO:root: 2019-05-25; Daniel; Logging Session has begun
DEBUG:root: 2019-05-25; Daniel; Total Memory: 8224260096
DEBUG:root: 2019-05-25; Daniel; Total Disk: 983447891968
DEBUG:root: 2019-05-25; Daniel; Battery Percentage: 42
DEBUG:root: 2019-05-25; Daniel; Battery Remaining: 1193046:28:15
DEBUG:root: 2019-05-25; Daniel; Battery Plugged in: False
DEBUG:root: 2019-05-25; Daniel; List of User Names:
DEBUG:root: 2019-05-25; Daniel; Daniel
INFO:root: 2019-05-25; Daniel; Logging Session has ended
